,group,num,level,school,title,description,credits
149,ANTH,A390A,300,Anchorage,Arctic and Subarctic Cultures,"Explores anthropological perspectives on Arctic and Subarctic peoples, focusing on Indigenous cultures, settlement, history, languages, social transformations and contemporary experiences. Cultural or sub-regional focus will vary by semester. Special Note: May be repeated once with a change of subtitle.
Prerequisites: ANTH A200 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A211 with a minimum grade of C or AKNS A201 with a minimum grade of C or INTL A101 with a minimum grade of C or GEOG A101 with a minimum grade of C.",3
150,ANTH,A390B,300,Anchorage,World Cultures,"Explores anthropological perspectives on world peoples, focusing on Indigenous cultures, settlement, history, languages, social transformations and contemporary experiences. Cultural or regional focus will vary by semester. Special Note: May be repeated once with a change of subtitle.
Prerequisites: ANTH A202 with a minimum grade of C or ANTH A211 with a minimum grade of C or ANTH A250 with a minimum grade of C or INTL A101 with a minimum grade of C or GEOG A101 with a minimum grade of C.",3
151,ANTH,A390C,300,Anchorage,Comparative Culture Studies,"Explores a specific topic of contemporary anthropological inquiry, providing comparative, in-depth insights from at least two of the four subfields of anthropology. Survey of ethnology/ethnography on the topic. Topical focus will vary by semester. Special Note: May be repeated once with a change of subtitle.
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C or ANTH A210 with a minimum grade of C or AKNS A201 with a minimum grade of C or INTL A101 with a minimum grade of C or GEOG A101 with a minimum grade of C or SOC A101 with a minimum grade of C or SOC A201 with a minimum grade of C.",3
152,ANTH,A410,400,Anchorage,Anthropological Theory,"Traces the development of the discipline of anthropology. Presents key leaders and theoretical paradigms, concluding with contemporary practice. Special Note: Senior seminar for anthropology majors includes individual creation of student ePortfolio highlighting learning over the course of major. Not available for credit to students who have completed ANTH A610. Registration Restrictions: Admission to the Bachelor of Arts in Anthropology, Bachelor of Science in Anthropology or Minor in Anthropology; senior standing; and 9 credits of 300- and/or 400-level ANTH courses with a minimum grade of C May Be Stacked With: ANTH A610",3
153,ANTH,A411,400,Anchorage,Archaeological Theory,"Provides a survey of theoretical approaches and practice in contemporary archaeology. Includes class discussions based on readings and student presentations. Special Note: Not available for credit to students who have completed ANTH A611. Registration Restrictions: Junior or senior standing. May Be Stacked With: ANTH A611
Prerequisites: ANTH A205 with a minimum grade of C or ANTH A211 with a minimum grade of C.",3
154,ANTH,A415,400,Anchorage,Applied Anthropology,"Explores history, theory and methods of applied anthropology in the United States with some emphasis on applying anthropology in Alaska. Special Note: Not available for credit to students who have completed ANTH A615. May Be Stacked With: ANTH A615
Prerequisites: ANTH A202 with a minimum grade of C.",3
155,ANTH,A430,400,Anchorage,Research Methods in Cultural Anthropology,"Introduces modes of scientific data gathering, analysis and interpretation in cultural anthropology. Includes the logic of scientific inquiry, research design, data collection and analysis, field work strategies, ethnographic and report writing, community/partner collaboration, and ethics in social science research. Special Note: Not available for credit to students who have completed ANTH A630. May Be Stacked With: ANTH A630
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A202 with a minimum grade of C or ENVI A212 with a minimum grade of C or SOC A101 with a minimum grade of C or SOC A201 with a minimum grade of C.

ANTH A431 Field Methods in Archaeology and Bioanthropology  1-8 Credits

Techniques of archaeological and bioarchaeological survey, mapping and excavation, including archaeological and bioarchaeological data recovery, recording techniques, cataloging and laboratory processing. Project settings may include historic sites, building documentation, archival research, bioarchaeological or forensics themed field schools, and pre-contact Indigenous sites within or outside of Alaska. Special Note: May be repeated once for credit. Registration Restrictions: Instructor approval May Be Stacked With: ANTH A631
Prerequisites: ANTH A211 with a minimum grade of C.",3
156,ANTH,A452,400,Anchorage,Culture and Human Biodiversity,"Applies modern biocultural theory - including genetics, epigenetics, growth and development, and evolutionary biology - to highlight current understandings of human phenotypic, gender and sexual variation. Explores the historical role that biological anthropology played in the construction of race and gender. Special Note: Not available for credit to students who have completed ANTH A652. Registration Restrictions: Completion of Tier 1 (basic college-level) GER courses May Be Stacked With: ANTH A652
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C or BIOL A102 with a minimum grade of C or BIOL A108 with a minimum grade of C or SOC A101 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.",3
157,ANTH,A454,400,Anchorage,Culture and Ecology,"Explores the integration of cultural and ecological systems, examining sociopolitical dimensions of environmental change and ecological knowledge. Special Note: Not available for credit to students who have completed ANTH A654. Registration Restrictions: Completion of Tier 1 (basic college-level) GER courses May Be Stacked With: ANTH A654
Prerequisites: ANTH A202 with a minimum grade of C or ENVI A212 with a minimum grade of C or GEOG A101 with a minimum grade of C or INTL A101 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.",3
158,ANTH,A455,400,Anchorage,Culture and Health,"Surveys the relationship of human culture to health and disease.  Includes ancient disease and impact on human evolution, interrelationship between biology and culture, alternative health systems, and applicability to contemporary problems. Special Note: Not available for credit to students who have completed ANTH A655. Registration Restrictions: Completion of Tier 1 (basic college-level) GER courses May Be Stacked With: ANTH A655
Prerequisites: ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.",3
